Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/request-otp/,19,19,38,99.1055434736896,32.38411000006636,712.9832319999423,51.0,0.008222571859427274,0.008222571859427274,38,43,50,170,250,710,710,710,710,710,710
,Aggregated,19,19,38,99.1055434736896,32.38411000006636,712.9832319999423,51.0,0.008222571859427274,0.008222571859427274,38,43,50,170,250,710,710,710,710,710,710
